Organisation,Sector,Mantiqa,Activity
IMC,TEST DATA 4,Tripoli,"Protecting and empowering women to elevate resilience in Libya through provision of RH services and GBV prevention and response activities by supporting two women empowerment CSOs
"
IMC,TEST DATA 4,Sebha,"Protecting and empowering women to elevate resilience in Libya through provision of RH services and GBV prevention and response activities by supporting two women empowerment CSOs
"
IMC,TEST DATA 4,Sebha,"Protecting and empowering women to elevate resilience in Libya through provision of RH services and GBV prevention and response activities by supporting two women empowerment CSOs
"
IMC,TEST DATA 4,Tripoli,"Support MoH in the provision of tuberculosis screening and treatment in the Tripoli area and higher level mental health services in Misrata to compliment the psychosocial support activities implemented by the co-lead partner CESVI.
"
IMC,TEST DATA 4,Misrata,"Support MoH in the provision of tuberculosis screening and treatment in the Tripoli area and higher level mental health services in Misrata to compliment the psychosocial support activities implemented by the co-lead partner CESVI.
"
IMC,TEST DATA 4,Tripoli,"Provision of primary health care services and referrals to advanced health facilities for Migrants and IDPs in two Primary Health Care Centers (PHCs) in COVID-19 emergency as well as supporting Tripoli Central Hospital to improve COVID-19 management capacity and response.
"
IMC,TEST DATA 4,Tripoli,"Provision of primary health care services and referrals to advanced health facilities for Migrants and IDPs in two Primary Health Care Centers (PHCs) in COVID-19 emergency as well as supporting Tripoli Central Hospital to improve COVID-19 management capacity and response.
"
IMC,TEST DATA 4,Tripoli,"Support COVID-19  preparedness and response efforts in Libya through the provision of  training to healthcare staff in IPC and Case Management, supporting Rapid Response Teams, improving risk communication and community engagement and prepare and equip health facilities.
"
IMC,TEST DATA 4,Sebha,"Support COVID-19  preparedness and response efforts in Libya through the provision of  training to healthcare staff in IPC and Case Management, supporting Rapid Response Teams, improving risk communication and community engagement and prepare and equip health facilities.
"
IMC,TEST DATA 4,Benghazi,"Support COVID-19  preparedness and response efforts in Libya through the provision of  training to healthcare staff in IPC and Case Management, supporting Rapid Response Teams, improving risk communication and community engagement and prepare and equip health facilities.
"
IMC,TEST DATA 4,Misrata,"Support COVID-19  preparedness and response efforts in Libya through the provision of  training to healthcare staff in IPC and Case Management, supporting Rapid Response Teams, improving risk communication and community engagement and prepare and equip health facilities.
"
Intersos,TEST DATA 4,Tripoli,"Provision of multi-sectorial services to vulnerable children
 in Libya – Bayti Centre.
Activities: NFE, PSS, LS, computer classes, awareness sessions, better parenting, case management, capacity building training of UNICEF implementing partners"
Intersos,TEST DATA 4,Sebha,"Provision of multi-sectorial services to vulnerable children
 in Libya – Bayti Centre Sabha.
Activities: NFE, PSS, LS,  awareness sessions, better parenting"
Intersos,TEST DATA 4,Sebha,"Provision of social, education and protection services to vulnerable 
children and their families in Libya – HuB Centre Sabha.
Activities: legal and protection services, health and social services, case management, NFI distribution"
Intersos,TEST DATA 4,Tripoli,"Protection and Multi Sectorial Assistance to IDPs, migrants
 and vulnerable host communities in Tripoli.
Activities: awareness raising activities on health, medical screenings, commnity protection outreach activities, NFI distribution"
Intersos,TEST DATA 4,Tripoli,"School Feeding – Food for training.
Activities: in-kind food assistance, awareness raising sessions on nutritional topics, strenghtening livelihoods by training local CBOs on healthy nutrition and food processing"
IRC,TEST DATA 4,Tripoli,Mobile health team (Primary health care servcies) to DC
IRC,TEST DATA 4,Tripoli,Mobile health team (Primary health care servcies) to a PHC
IRC,TEST DATA 4,Tripoli,Mobile health team (PHC + GBV case management and PSS group activities) to PHCC 
IRC,TEST DATA 4,Tripoli,Mobile health team (Primary health care servcies) to a PHC
IRC,TEST DATA 4,Tripoli,Mobile health team (Primary health care servcies) to a PHC
IRC,TEST DATA 4,Tripoli,Mobile health team (Primary health care servcies) to a CDC
IRC,TEST DATA 4,Tripoli,Mobile health team (Primary health care servcies) to DC and Dis-embarkation point
IRC,TEST DATA 4,Tripoli,Mobile health team (Primary health care servcies) to DC and Dis-embarkation point
IRC,TEST DATA 4,Misrata,Mobile health team (Primary health care servcies) to DC and Dis-embarkation point
IRC,TEST DATA 4,Misrata,Mobile health team (Primary health care servcies) to LRC shelter
IRC,TEST DATA 4,Misrata,Mobile health team (PHC + GBV case management)
IRC,TEST DATA 4,Tripoli,24/7 medical emergency hotline and ambulance transportation services
IRC,TEST DATA 4,Tripoli,24/7 COVID-19 ambulance transportation services
IRC,TEST DATA 4,Misrata,Strenghtening health systems through mentorship and provision of medical equipment and supplies
IRC,TEST DATA 4,Misrata,NCDs management and prevention 
IRC,TEST DATA 4,Tripoli,NCDs management and prevention 
IRC,TEST DATA 4,Al Jabal Al Gharbi,NCDs management and prevention 
IRC,TEST DATA 4,Tripoli,Strengthening the primary healthcare servcies 
IRC,TEST DATA 4,Misrata,Strengthening the primary healthcare servcies 
IRC,TEST DATA 4,Al Jabal Al Gharbi,Strengthening the primary healthcare servcies 
IRC,TEST DATA 4,Ghat,Strengthening the primary healthcare servcies - Mobile teams to PHCs in the southern region 
IRC,TEST DATA 4,Ubari,Strengthening the primary healthcare servcies - Mobile teams to PHCs in the southern region 
IRC,TEST DATA 4,Tripoli,"GBV Case Management, PSS provision, Non focused group activites (awareness raising)."
IRC,TEST DATA 4,Tripoli,Non focused recreational activities to children.
IRC,TEST DATA 4,Tripoli,Non focused recreational activities to children.
IRC,TEST DATA 4,Tripoli,"Information dissemination and awareness raising, referral to specialized services"
IRC,TEST DATA 4,Tripoli,"GBV Case Management, PSS provision, Non focused group activites (awareness raising)."
IRC,TEST DATA 4,Tripoli,"GBV Case Management, PSS provision, Non focused group activites (awareness raising)."
IRC,TEST DATA 4,Tripoli,"Information dissemination and awareness raising, referral to specialized services"
IRC,TEST DATA 4,Tripoli,"Information dissemination and awareness raising, referral to specialized services"
IRC,TEST DATA 4,Tripoli,"Community mobalization, Inkind assistance, referral to specialized services, Information dissemination,awareness raising and community consultantions."
IRC,TEST DATA 4,Tripoli,"Community mobalization, Inkind assistance, referral to specialized services, Information dissemination,awareness raising and community consultantions."
IRC,TEST DATA 4,Tripoli,"Community mobalization, Inkind assistance, referral to specialized services, Information dissemination,awareness raising and community consultantions."
IRC,TEST DATA 4,Misrata,"GBV Case Management, PSS provision, Non focused group activites (awareness raising)."
IRC,TEST DATA 4,Misrata,Non focused recreational activities to children.
IRC,TEST DATA 4,Misrata,"GBV Case Management, PSS provision, Non focused group activites (awareness raising)."
IRC,TEST DATA 4,Misrata,Non focused recreational activities to children.
IRC,TEST DATA 4,Misrata,"GBV Case Management, PSS provision, Non focused group activites (awareness raising)."
IRC,TEST DATA 4,Misrata,Non focused recreational activities to children.
IRC,TEST DATA 4,Misrata,"GBV Case Management, PSS provision, Non focused group activites (awareness raising)."
IRC,TEST DATA 4,Misrata,Non focused recreational activities to children.
MMC,TEST DATA 4,Sebha,Mixed Migration Monitoring Mechanism initiative
MMC,TEST DATA 4,Tripoli,Mixed Migration Monitoring Mechanism initiative
MMC,TEST DATA 4,Ejdabia,Mixed Migration Monitoring Mechanism initiative
NRC,TEST DATA 4,Benghazi,Distribution of Rec/Edu student kits -116 kits
NRC,TEST DATA 4,Benghazi,Distribution of Rec/Edu student kits -169 Kits
NRC,TEST DATA 4,Benghazi,Distribution of  Rec/Edu student kits - 16 Kits
NRC,TEST DATA 4,Benghazi,Distribution of  Rec/Edu student kits -33 kits
NRC,TEST DATA 4,Benghazi,Distribution of  Rec/Edu student kits - 20 kits
NRC,TEST DATA 4,Benghazi,Distribution of  Rec/Edu student kits - 46 kits
NRC,TEST DATA 4,Benghazi,Distribution of  Rec/Edu student kits- 106 Kits
NRC,TEST DATA 4,Benghazi,Distribution of student kits for Tarhouna IDPs - 41 Kits
NRC,TEST DATA 4,Benghazi,Distribution of student kits for Tarhouna IDPs  in Shahat city - 650 Kits
NRC,TEST DATA 4,Benghazi,Distribution of student kits for Tarhouna IDPs - 80 Kits
NRC,TEST DATA 4,Benghazi,Distribution of student kits for Tarhouna IDPs - 81 Kits
NRC,TEST DATA 4,Benghazi,Alnamudhjia school- hygiene kit ( cleaning supplies) - 3 kits
NRC,TEST DATA 4,Benghazi,Alhoreia school- hygiene kit ( cleaning supplies) - 3 kits
NRC,TEST DATA 4,Benghazi,Sidi Hussein school- hygiene kit ( cleaning supplies) - 2 kits
NRC,TEST DATA 4,Benghazi,Altiba Almonwra school- hygiene kit ( cleaning supplies) - 4 kits
NRC,TEST DATA 4,Benghazi,Shohda Ard Lomlom school- hygiene kit ( cleaning supplies) - 3 kits
NRC,TEST DATA 4,Benghazi,Okba school- hygiene kit ( cleaning supplies) -  3 kits
NRC,TEST DATA 4,Benghazi,SHOHDA ALSAHIL school- hygiene kit ( cleaning supplies) - 3 kits
NRC,TEST DATA 4,Benghazi,Alhelees  for Tawrgha IDPs school- hygiene kit ( cleaning supplies)- 2kits
NRC,TEST DATA 4,Benghazi,Garyounis school- hygiene kit ( cleaning supplies)-3 kits 
NRC,TEST DATA 4,Benghazi,Shohadaa Alhawary school- hygiene kit ( cleaning supplies)- 3 kits
NRC,TEST DATA 4,Benghazi,Alamira school- hygiene kit ( cleaning supplies)- 3 kits 
NRC,TEST DATA 4,Benghazi,Sinaa school- hygiene kit ( cleaning supplies)-3 kits
NRC,TEST DATA 4,Benghazi,Alsadeka school- hygiene kit ( cleaning supplies)-4 kits
NRC,TEST DATA 4,Benghazi,Alantesar school- hygiene kit ( cleaning supplies)- 6 kits
NRC,TEST DATA 4,Benghazi,Alnajeela school- hygiene kit ( cleaning supplies) - 2 kits
NRC,TEST DATA 4,Benghazi,non-formal education as implemented through WhatsApp and paper-based distributions for for 569 beneficiaries
NRC,TEST DATA 4,Benghazi,non-formal education as implemented through WhatsApp and paper-based distributions for for 569 beneficiaries
NRC,TEST DATA 4,Benghazi,non-formal education as implemented through WhatsApp and paper-based distributions for for 569 beneficiaries
NRC,TEST DATA 4,Benghazi,non-formal education as implemented through WhatsApp and paper-based distributions for for 569 beneficiaries
NRC,TEST DATA 4,Benghazi,non-formal education as implemented through WhatsApp and paper-based distributions for for 569 beneficiaries
NRC,TEST DATA 4,Benghazi,non-formal education as implemented through WhatsApp for 630 beneficiaries
NRC,TEST DATA 4,Benghazi,"Group Information Sessions, Legal Counselling and Legal Assistance "
NRC,TEST DATA 4,Benghazi,"Group Information Sessions, Legal Counselling and Legal Assistance "
NRC,TEST DATA 4,Benghazi,"Group Information Sessions, Legal Counselling and Legal Assistance "
NRC,TEST DATA 4,Benghazi,"Group Information Sessions, Legal Counselling and Legal Assistance "
NRC,TEST DATA 4,Benghazi,"Group Information Sessions, Legal Counselling and Legal Assistance "
NRC,TEST DATA 4,Benghazi,"Group Information Sessions, Legal Counselling and Legal Assistance "
NRC,TEST DATA 4,,"Group Information Sessions, Legal Counselling and Legal Assistance "
NRC,TEST DATA 4,,"Group Information Sessions, Legal Counselling and Legal Assistance "
NRC,TEST DATA 4,Benghazi,Training on legal rights and HLP 
NRC,TEST DATA 4,Tripoli,Call Centre for Refugees and Asylum Seekers (based in Tripoli covers all Libya) 
NRC,TEST DATA 4,Benghazi,Rapid Needs Assessment Team (Based in Benghazi covering east) 
NRC,TEST DATA 4,Benghazi,Eviction monitoring 
PUI,TEST DATA 4,Alkufra,"2 Mobile Health Teams, Delivery of essential medicines and consumable medical supplies, MHPSS consultations, Support of SGBV survivors, Referrals, Community based interventions"
PUI,TEST DATA 4,Alkufra,"Protection Need assessment, Protection monitoring, Protection assistance, Awareness campaigns"
PUI,TEST DATA 4,Benghazi,"1 Mobile Health Team, Delivery of essential medicines and consumable medical supplies, MHPSS consultations"
PUI,TEST DATA 4,Benghazi,"1 Mobile Health Team, Delivery of essential medicines and consumable medical supplies, MHPSS consultations"
PUI,TEST DATA 4,Benghazi,"1 Mobile Health Team, Delivery of essential medicines and consumable medical supplies, MHPSS consultations"
PUI,TEST DATA 4,Benghazi,"1 Mobile Health Team, Delivery of essential medicines and consumable medical supplies, MHPSS consultations"
PUI,TEST DATA 4,Benghazi,"1 Mobile Health Team, Delivery of essential medicines and consumable medical supplies, MHPSS consultations"
PUI,TEST DATA 4,Benghazi,"Protection monitoring, Protection assistance"
PUI,TEST DATA 4,Benghazi,"Protection monitoring, Protection assistance"
PUI,TEST DATA 4,Benghazi,"Protection monitoring, Protection assistance"
PUI,TEST DATA 4,Benghazi,"Protection monitoring, Protection assistance"
PUI,TEST DATA 4,Benghazi,"Protection monitoring, Protection assistance"
PUI,TEST DATA 4,Benghazi,"Distribution of NFIs, Hygiene Kits"
PUI,TEST DATA 4,Benghazi,"Distribution of NFIs, Hygiene Kits"
PUI,TEST DATA 4,Benghazi,QIPs (Consummables related to COVID-19)
PUI,TEST DATA 4,Benghazi,"Delivery of drugs, medical equipment and consumables, Technical Trainings, Mentorship, Delivery of HMIS tools"
PUI,TEST DATA 4,Benghazi,"Health infrastructure rehabilitation, Technical trainings for MoH staff, community activities (awareness campagins)"
PUI,TEST DATA 4,Benghazi,"Health infrastructure rehabilitation, Technical trainings for MoH staff, community activities (awareness campagins)"
PUI,TEST DATA 4,Alkufra,"Health infrastructure rehabilitation, Technical trainings for MoH staff, community activities (awareness campagins)"
REACH,TEST DATA 4,Ubari,"Area-based Assessment: to better understand protection and social cohesion issues and stakeholders in the city, including an investigation of the formal and informal mechanisms residents use to seek protection and to make protection-related decisions"
REACH,TEST DATA 4,Sebha,"Area-based Assessment: to provide humanitarian-development-peace ‘nexus’ actors with information related to service delivery and social cohesion in the city, and identify efficient and conflict-sensitive entry points for supporting medium- to long-term solutions to service delivery challenges."
REACH,TEST DATA 4,Sebha,"Labour market assessments - The assessment aims to understand the structure of the labour market, opportunities that are present, and barriers to accessing the labour market for different segments of the population.

Specifically, the assessment aims to map out the characteristics of the labour market, how Libyans and non-Libyans interact with the labour market and the opportunities and challenges for each population group. The labour market assessments will include a stakeholder mapping identifying local structures focused on economic development in the target areas."
REACH,TEST DATA 4,Ubari,"Labour market assessments - The assessment aims to understand the structure of the labour market, opportunities that are present, and barriers to accessing the labour market for different segments of the population.

Specifically, the assessment aims to map out the characteristics of the labour market, how Libyans and non-Libyans interact with the labour market and the opportunities and challenges for each population group. The labour market assessments will include a stakeholder mapping identifying local structures focused on economic development in the target areas."
REACH,TEST DATA 4,Alkufra,Data collection on birth registration and current gaps in registration and documentation
REACH,TEST DATA 4,Benghazi,Data collection on birth registration and current gaps in registration and documentation
REACH,TEST DATA 4,Ghat,Data collection on birth registration and current gaps in registration and documentation
REACH,TEST DATA 4,Misrata,Data collection on birth registration and current gaps in registration and documentation
REACH,TEST DATA 4,Murzuq,Data collection on birth registration and current gaps in registration and documentation
REACH,TEST DATA 4,Sebha,Data collection on birth registration and current gaps in registration and documentation
REACH,TEST DATA 4,Tripoli,Data collection on birth registration and current gaps in registration and documentation
REACH,TEST DATA 4,Al Jabal Al Akhdar,Multi-Sector Needs Assessment: Libyan population groups
REACH,TEST DATA 4,Al Jabal Al Gharbi,Multi-Sector Needs Assessment: Libyan population groups
REACH,TEST DATA 4,Aljfara,Multi-Sector Needs Assessment: Libyan population groups
REACH,TEST DATA 4,Aljufra,Multi-Sector Needs Assessment: Libyan population groups
REACH,TEST DATA 4,Alkufra,Multi-Sector Needs Assessment: Libyan population groups
REACH,TEST DATA 4,Almargeb,Multi-Sector Needs Assessment: Libyan population groups
REACH,TEST DATA 4,Almarj,Multi-Sector Needs Assessment: Libyan population groups
REACH,TEST DATA 4,Azzawya,Multi-Sector Needs Assessment: Libyan population groups
REACH,TEST DATA 4,Benghazi,Multi-Sector Needs Assessment: Libyan population groups
REACH,TEST DATA 4,Derna,Multi-Sector Needs Assessment: Libyan population groups
REACH,TEST DATA 4,Ejdabia,Multi-Sector Needs Assessment: Libyan population groups
REACH,TEST DATA 4,Ghat,Multi-Sector Needs Assessment: Libyan population groups
REACH,TEST DATA 4,Misrata,Multi-Sector Needs Assessment: Libyan population groups
REACH,TEST DATA 4,Murzuq,Multi-Sector Needs Assessment: Libyan population groups
REACH,TEST DATA 4,Nalut,Multi-Sector Needs Assessment: Libyan population groups
REACH,TEST DATA 4,Sebha,Multi-Sector Needs Assessment: Libyan population groups
REACH,TEST DATA 4,Sirt,Multi-Sector Needs Assessment: Libyan population groups
REACH,TEST DATA 4,Tobruk,Multi-Sector Needs Assessment: Libyan population groups
REACH,TEST DATA 4,Tripoli,Multi-Sector Needs Assessment: Libyan population groups
REACH,TEST DATA 4,Ubari,Multi-Sector Needs Assessment: Libyan population groups
REACH,TEST DATA 4,Wadi Ashshati,Multi-Sector Needs Assessment: Libyan population groups
REACH,TEST DATA 4,Zwara,Multi-Sector Needs Assessment: Libyan population groups
REACH,TEST DATA 4,Tripoli,Multi-Sector Needs Assessment: Migrant and Refugee populations
REACH,TEST DATA 4,Ejdabia,Multi-Sector Needs Assessment: Migrant and Refugee populations
REACH,TEST DATA 4,Misrata,Multi-Sector Needs Assessment: Migrant and Refugee populations
REACH,TEST DATA 4,Murzuq,Multi-Sector Needs Assessment: Migrant and Refugee populations
REACH,TEST DATA 4,Sebha,Multi-Sector Needs Assessment: Migrant and Refugee populations
REACH,TEST DATA 4,Azzawya,Multi-Sector Needs Assessment: Migrant and Refugee populations
REACH,TEST DATA 4,Al Jabal Al Gharbi,Multi-Sector Needs Assessment: Migrant and Refugee populations
REACH,TEST DATA 4,Benghazi,Multi-Sector Needs Assessment: Migrant and Refugee populations
REACH,TEST DATA 4,Alkufra,Multi-Sector Needs Assessment: Migrant and Refugee populations
REACH,TEST DATA 4,Al Jabal Al Akhdar,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Al Jabal Al Gharbi,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Al Jabal Al Gharbi,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Al Jabal Al Gharbi,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Al Jabal Al Gharbi,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Aljfara,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Aljfara,Joint Market Monitoring Initiative
REACH,TEST DATA 4,AlJufra,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Alkufra,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Almargeb,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Almargeb,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Almargeb,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Almarj,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Azzawya,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Benghazi,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Derna,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Ejdabia,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Ghat,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Misrata,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Misrata,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Misrata,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Murzuq,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Murzuq,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Nalut,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Nalut,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Sebha,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Sirt,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Tobruk,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Tripoli,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Tripoli,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Tripoli,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Tripoli,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Tripoli,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Tripoli,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Ubari,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Wadi Ashshati,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Zwara,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Zwara,Joint Market Monitoring Initiative
REACH,TEST DATA 4,Al Jabal Al Akhdar,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Al Jabal Al Gharbi,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Al Jabal Al Gharbi,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Al Jabal Al Gharbi,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Al Jabal Al Gharbi,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Aljfara,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Aljfara,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,AlJufra,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Alkufra,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Almargeb,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Almargeb,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Almargeb,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Almarj,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Azzawya,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Benghazi,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Derna,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Ejdabia,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Ghat,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Misrata,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Misrata,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Misrata,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Murzuq,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Murzuq,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Nalut,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Nalut,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Sebha,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Sirt,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Tobruk,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Tripoli,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Tripoli,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Tripoli,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Tripoli,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Tripoli,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Tripoli,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Ubari,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Wadi Ashshati,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Zwara,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Zwara,Joint Market Monitoring Initiative: Rapid COVID-19 assessment
REACH,TEST DATA 4,Tripoli,Protection Rapid COVID-19 assessment
TDH,TEST DATA 4,Al Jabal Al Gharbi,"1.1 Provide a minimum package of integrated health services at primary and secondary levels (integrated services cover emergency and trauma care, management of Communicable and Non-Communicable Diseases, Maternal, Neonatal and Child Health (MNCH), Mental Health and Psychosocial Support (MHPSS) and clinical rehabilitation). "
TDH,TEST DATA 4,Al Jabal Al Gharbi,3.1 Strengthen the capacity of health care providers and community health care workers to provide essential health services
TDH,TEST DATA 4,Azzawya,"1.1 Provide a minimum package of integrated health services at primary and secondary levels (integrated services cover emergency and trauma care, management of Communicable and Non-Communicable Diseases, Maternal, Neonatal and Child Health (MNCH), Mental Health and Psychosocial Support (MHPSS) and clinical rehabilitation). "
TDH,TEST DATA 4,Azzawya,3.1 Strengthen the capacity of health care providers and community health care workers to provide essential health services
TDH,TEST DATA 4,Tripoli,"1.1 Provide a minimum package of integrated health services at primary and secondary levels (integrated services cover emergency and trauma care, management of Communicable and Non-Communicable Diseases, Maternal, Neonatal and Child Health (MNCH), Mental Health and Psychosocial Support (MHPSS) and clinical rehabilitation). "
TDH,TEST DATA 4,Tripoli,3.1 Strengthen the capacity of health care providers and community health care workers to provide essential health services
TDH,TEST DATA 4,Misrata,"1.1 Provide a minimum package of integrated health services at primary and secondary levels (integrated services cover emergency and trauma care, management of Communicable and Non-Communicable Diseases, Maternal, Neonatal and Child Health (MNCH), Mental Health and Psychosocial Support (MHPSS) and clinical rehabilitation). "
TDH,TEST DATA 4,Misrata,3.1 Strengthen the capacity of health care providers and community health care workers to provide essential health services
TDH,TEST DATA 4,Tripoli,1-  Enhanced access to formal and non-formal education for vulnerable school-aged children affected by protracted crisis.
TDH,TEST DATA 4,Tripoli,"1 - Strengthen community-based child protection to enhance protection of children from violence, abuse and exploitation in targeted locations"
TDH,TEST DATA 4,Tripoli,1-  Enhanced access to formal and non-formal education for vulnerable school-aged children affected by protracted crisis.
TDH,TEST DATA 4,Tripoli,"1 - Strengthen community-based child protection to enhance protection of children from violence, abuse and exploitation in targeted locations"
TDH,TEST DATA 4,Azzawya,1-  Enhanced access to formal and non-formal education for vulnerable school-aged children affected by protracted crisis.
TDH,TEST DATA 4,Azzawya,"1 - Strengthen community-based child protection to enhance protection of children from violence, abuse and exploitation in targeted locations"
TDH,TEST DATA 4,Misrata,1-  Enhanced access to formal and non-formal education for vulnerable school-aged children affected by protracted crisis.
TDH,TEST DATA 4,Misrata,"1 - Strengthen community-based child protection to enhance protection of children from violence, abuse and exploitation in targeted locations"
